algorithm	n	time
insertion_sort	100	0.000129
merge_sort	100	0.000118
heap_sort	100	0.000121
quick_sort	100	0.000042
insertion_sort	1000	0.015204
merge_sort	1000	0.001356
heap_sort	1000	0.001643
quick_sort	1000	0.000683
insertion_sort	10000	1.598856
merge_sort	10000	0.016384
heap_sort	10000	0.022182
quick_sort	10000	0.007638
insertion_sort	100000	157.361631
merge_sort	100000	0.201343
heap_sort	100000	0.297459
quick_sort	100000	0.104849
